"Computername","UpdateKB","UpdateTitle"
"prod-ic-01.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2008 R2 for x64-based systems (KB4493435)"
"sav2.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"quest1test.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"devdb1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"dev-akce-02.trumark.org","4493448","2019-04 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4493448)"
"dev-akce-02.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2008 R2 for x64-based systems (KB4493435)"
"abra1.trumark.org","3159398","Security Update for Windows Server 2008 R2 x64 Edition (KB3159398)"
"gns3svr1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"ts1.trumark.org","3159398","Security Update for Windows Server 2008 R2 x64 Edition (KB3159398)"
"ts1.trumark.org","3161949","Security Update for Windows Server 2008 R2 x64 Edition (KB3161949)"
"appsvr1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"sca1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"prod-aviso.trumark.org","3159398","Security Update for Windows Server 2008 R2 x64 Edition (KB3159398)"
"imgctr1test.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"raddon2.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"ts3.trumark.org","2928120","Security Update for Windows Server 2008 R2 x64 Edition (KB2928120)"
"spdb-uat.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spdb-uat.trumark.org","4489883","2019-03 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4489883)"
"spdb-uat.trumark.org","4489873","2019-03 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4489873)"
"spdb-uat.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"spdb-uat.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"tslic1.trumark.org","3159398","Security Update for Windows Server 2008 R2 x64 Edition (KB3159398)"
"tslic1.trumark.org","3161949","Security Update for Windows Server 2008 R2 x64 Edition (KB3161949)"
"spdb1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spapp-uat.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spowa2.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spowa2.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"spowa2.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"spsearch1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spweb1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spowa-uat.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spowa-uat.trumark.org","4489883","2019-03 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4489883)"
"spowa-uat.trumark.org","4489873","2019-03 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4489873)"
"spowa-uat.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"spowa-uat.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"spweb2.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spweb2.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"spweb2.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"spcache2.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spcache1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spapp1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spdev1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spdev1.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"spdev1.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"spowa1.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spowa1.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"spowa1.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"spapp2.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spdev2.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spdev2.trumark.org","4493435","2019-04 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4493435)"
"spdev2.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"spweb-uat.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spweb-uat.trumark.org","4493467","2019-04 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4493467)"
"spsearch2.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
"spdb2.trumark.org","3138615","Update for Windows Server 2012 R2 (KB3138615)"
